"rep","day","parasite","dent.adult","dent.juv","dent.inf","dent.total","dent.ephip.fem","dent.male.juv","dent.adult.male","dent.juv.infect","dent.adult.male.inf","dent.ephip.inf","total","Infect Total"
"A",10,0,146,207,0,146,1,0,0,0,0,0,500,0
"A",9,0,200,160,0,200,0,0,0,0,0,0,560,0
"A",8,0,78,215,0,78,0,0,0,0,0,0,371,0
"A",7,0,121,164,0,121,0,1,0,0,0,0,407,0
"A",6,0,46,318,0,46,20,0,0,0,0,0,430,0
"A",5,0,264,764,0,264,16,0,0,0,0,0,1308,0
"A",4,0,133,288,0,133,0,1,0,0,0,0,555,0
"A",3,0,43,105,0,43,0,0,0,0,0,0,191,0
"A",2,0,10,66,0,10,0,0,0,0,0,0,86,0
"A",1,0,8,9,0,8,0,0,0,0,0,0,25,0
"B",10,0,226,557,0,226,0,0,0,0,0,0,1009,0
"B",9,0,183,193,0,183,0,0,0,0,0,0,559,0
"B",8,0,130,80,0,130,0,0,0,0,0,0,340,0
"B",7,0,17,234,0,17,24,1,0,0,0,0,293,0
"B",6,0,134,346,0,134,0,0,0,0,0,0,614,0
"B",5,0,52,551,0,52,52,2,0,0,0,0,709,0
"B",4,0,89,161,0,89,0,0,0,0,0,0,339,0
"B",3,0,35,58,0,35,0,0,0,0,0,0,128,0
"B",2,0,7,27,0,7,0,0,0,0,0,0,41,0
"B",1,0,3,6,0,3,0,0,0,0,0,0,12,0
"C",10,0,193,170,0,193,0,0,1,0,0,0,557,0
"C",9,0,214,180,0,214,0,0,0,0,0,0,608,0
"C",8,0,235,171,0,235,0,0,0,0,0,0,641,0
"C",7,0,214,237,0,214,0,1,0,0,0,0,666,0
"C",6,0,219,270,0,219,0,1,0,0,0,0,709,0
"C",5,0,141,429,0,141,12,1,4,0,0,0,728,0
"C",4,0,127,286,0,127,0,0,0,0,0,0,540,0
"C",3,0,48,119,0,48,0,0,0,0,0,0,215,0
"C",2,0,13,62,0,13,0,0,0,0,0,0,88,0
"C",1,0,7,10,0,7,0,0,0,0,0,0,24,0
"D",10,0,166,303,0,166,0,0,0,0,0,0,635,0
"D",9,0,147,249,0,147,0,0,0,0,0,0,543,0
"D",8,0,175,191,0,175,0,0,0,0,0,0,541,0
"D",7,0,67,108,0,67,0,0,0,0,0,0,242,0
"D",6,0,125,164,0,125,0,0,0,0,0,0,414,0
"D",5,0,143,327,0,143,0,0,0,0,0,0,613,0
"D",4,0,104,308,0,104,0,0,0,0,0,0,516,0
"D",3,0,46,122,0,46,0,0,0,0,0,0,214,0
"D",2,0,21,54,0,21,0,0,0,0,0,0,96,0
"D",1,0,3,12,0,3,0,0,0,0,0,0,18,0
"E",10,0,1,0,0,1,0,0,0,0,0,0,2,0
"E",9,0,3,2,0,3,0,0,0,0,0,0,8,0
"E",8,0,14,15,0,14,0,0,0,0,0,0,43,0
"E",7,0,24,292,0,24,11,0,0,0,0,0,351,0
"E",6,0,190,317,0,190,1,2,0,0,0,0,700,0
"E",5,0,212,563,0,212,9,1,4,0,0,0,1001,0
"E",4,0,142,247,0,142,0,0,0,0,0,0,531,0
"E",3,0,78,100,0,78,0,0,0,0,0,0,256,0
"E",2,0,23,69,0,23,0,0,0,0,0,0,115,0
"E",1,0,8,10,0,8,0,0,0,0,0,0,26,0
"F",10,0,183,203,0,183,30,0,6,0,0,0,605,0
"F",9,0,258,372,0,258,8,6,7,0,0,0,909,0
"F",8,0,217,277,0,217,3,2,1,0,0,0,717,0
"F",7,0,149,224,0,149,0,0,0,0,0,0,522,0
"F",6,0,171,241,0,171,11,0,1,0,0,0,595,0
"F",5,0,122,125,0,122,0,0,0,0,0,0,369,0
"F",4,0,69,79,0,69,0,0,0,0,0,0,217,0
"F",3,0,31,89,0,31,0,0,0,0,0,0,151,0
"F",2,0,12,58,0,12,0,0,0,0,0,0,82,0
"F",1,0,4,8,0,4,0,0,0,0,0,0,16,0
"G",10,0,16,2,0,16,0,0,0,0,0,0,34,0
"G",9,0,16,4,0,16,0,0,0,0,0,0,36,0
"G",8,0,4,32,0,4,0,0,0,0,0,0,40,0
"G",7,0,9,54,0,9,4,1,0,0,0,0,77,0
"G",6,0,158,193,0,158,1,3,7,0,0,0,520,0
"G",5,0,109,392,0,109,1,24,0,0,0,0,635,0
"G",4,0,135,308,0,135,0,1,0,0,0,0,579,0
"G",3,0,48,78,0,48,0,0,0,0,0,0,174,0
"G",2,0,13,38,0,13,0,0,0,0,0,0,64,0
"G",1,0,5,8,0,5,0,0,0,0,0,0,18,0
"H",10,0,54,65,0,54,0,0,3,0,0,0,176,0
"H",9,0,51,112,0,51,1,0,3,0,0,0,218,0
"H",8,0,216,430,0,216,5,0,10,0,0,0,877,0
"H",7,0,184,636,0,184,0,0,9,0,0,0,1013,0
"H",6,0,78,62,0,78,0,0,0,0,0,0,218,0
"H",5,0,41,81,0,41,0,0,0,0,0,0,163,0
"H",4,0,38,47,0,38,0,0,0,0,0,0,123,0
"H",3,0,16,52,0,16,0,0,0,0,0,0,84,0
"H",2,0,9,54,0,9,0,0,0,0,0,0,72,0
"H",1,0,6,7,0,6,0,0,0,0,0,0,19,0
"I",10,0,213,473,0,213,0,4,0,0,0,0,903,0
"I",9,0,270,371,0,270,0,2,0,0,0,0,913,0
"I",8,0,178,153,0,178,0,0,0,0,0,0,509,0
"I",7,0,170,114,0,170,0,0,0,0,0,0,454,0
"I",6,0,272,414,0,272,6,0,2,0,0,0,966,0
"I",5,0,263,839,0,263,13,6,3,0,0,0,1387,0
"I",4,0,116,320,0,116,0,0,0,0,0,0,552,0
"I",3,0,51,113,0,51,0,0,0,0,0,0,215,0
"I",2,0,15,97,0,15,0,0,0,0,0,0,127,0
"I",1,0,6,14,0,6,0,0,0,0,0,0,26,0
"J",10,0,214,245,0,214,0,0,0,0,0,0,673,0
"J",9,0,404,529,0,404,0,0,1,0,0,0,1338,0
"J",8,0,401,474,0,401,0,0,3,0,0,0,1279,0
"J",7,0,220,404,0,220,0,0,0,0,0,0,844,0
"J",6,0,260,691,0,260,0,3,1,0,0,0,1215,0
"J",5,0,132,317,0,132,0,1,0,0,0,0,582,0
"J",4,0,57,244,0,57,0,0,0,0,0,0,358,0
"J",3,0,33,68,0,33,0,0,0,0,0,0,134,0
"J",2,0,11,35,0,11,0,0,0,0,0,0,57,0
"J",1,0,4,8,0,4,0,0,0,0,0,0,16,0
"K",10,1,24,8,21,45,0,0,0,3,0,0,101,24
"K",9,1,27,37,78,105,1,0,0,0,0,0,248,78
"K",8,1,14,143,82,96,0,0,2,0,0,0,337,82
"K",7,1,146,534,78,224,0,1,1,0,0,0,984,78
"K",6,1,169,309,36,205,0,0,0,0,0,0,719,36
"K",5,1,138,224,14,152,0,3,0,0,0,0,531,14
"K",4,1,100,159,0,100,0,0,0,0,0,0,359,0
"K",3,1,27,73,2,29,0,0,0,0,0,0,131,2
"K",2,1,10,32,0,10,0,0,0,0,0,0,52,0
"K",1,1,8,11,0,8,0,0,0,0,0,0,27,0
"L",10,1,0,0,0,0,0,0,0,0,0,0,0,0
"L",9,1,0,0,0,0,0,0,0,0,0,0,0,0
"L",8,1,41,111,26,67,0,1,1,0,0,0,247,26
"L",7,1,137,183,3,140,0,0,2,0,0,0,465,3
"L",6,1,33,139,0,33,0,0,0,0,0,0,205,0
"L",5,1,42,33,0,42,0,0,0,0,0,0,117,0
"L",4,1,27,43,0,27,1,0,0,0,0,0,98,0
"L",3,1,28,67,1,29,1,0,0,0,0,0,126,1
"L",2,1,12,48,1,13,0,0,0,0,0,0,74,1
"L",1,1,7,10,0,7,0,0,0,0,0,0,24,0
"M",10,1,20,17,4,24,0,0,0,0,0,0,65,4
"M",9,1,74,57,70,144,1,0,0,11,0,0,357,81
"M",8,1,116,71,70,186,0,0,0,0,0,0,443,70
"M",7,1,110,196,19,129,0,0,0,10,2,0,466,29
"M",6,1,181,393,24,205,3,2,8,2,0,0,818,26
"M",5,1,217,556,30,247,0,4,1,0,0,0,1055,30
"M",4,1,122,322,1,123,0,0,0,0,0,0,568,1
"M",3,1,53,124,1,54,0,0,0,0,0,0,232,1
"M",2,1,14,70,0,14,0,0,0,0,0,0,98,0
"M",1,1,3,9,0,3,0,0,0,0,0,0,15,0
"N",10,1,32,44,9,41,5,0,0,1,0,0,132,10
"N",9,1,43,48,16,59,1,0,0,3,0,0,170,19
"N",8,1,55,49,14,69,0,0,0,0,0,0,187,14
"N",7,1,68,55,5,73,0,1,0,4,0,0,206,9
"N",6,1,72,79,22,94,0,0,2,1,0,0,270,23
"N",5,1,72,94,27,99,0,1,0,0,0,0,293,27
"N",4,1,97,178,1,98,7,1,0,0,0,0,382,1
"N",3,1,79,80,4,83,0,0,0,0,0,0,246,4
"N",2,1,5,50,0,5,0,0,0,0,0,0,60,0
"N",1,1,6,8,0,6,0,0,0,0,0,0,20,0
"O",10,1,37,214,21,58,0,0,0,1,0,0,331,22
"O",9,1,45,363,67,112,5,0,0,1,0,3,596,71
"O",8,1,151,228,24,175,0,1,3,1,3,0,586,25
"O",7,1,165,237,1,166,0,0,0,0,0,0,569,1
"O",6,1,158,54,2,160,1,0,1,0,0,0,376,2
"O",5,1,92,160,0,92,0,0,0,0,0,0,344,0
"O",4,1,73,81,0,73,0,0,0,0,0,0,227,0
"O",3,1,24,70,1,25,0,0,0,0,0,0,120,1
"O",2,1,8,55,1,9,0,0,0,0,0,0,73,1
"O",1,1,4,7,0,4,0,0,0,0,0,0,15,0
"P",10,1,6,9,0,6,0,0,0,0,0,0,21,0
"P",9,1,5,9,1,6,0,0,0,1,0,0,22,2
"P",8,1,3,3,2,5,0,0,0,0,0,0,13,2
"P",7,1,36,15,1,37,0,0,0,0,0,0,89,1
"P",6,1,180,73,6,186,0,0,0,0,0,0,445,6
"P",5,1,146,383,27,173,0,3,3,0,0,1,736,28
"P",4,1,110,260,1,111,1,1,0,0,0,0,484,1
"P",3,1,41,99,2,43,0,0,0,0,0,0,185,2
"P",2,1,9,36,0,9,0,0,0,0,0,0,54,0
"P",1,1,9,17,0,9,0,0,0,0,0,0,35,0
"Q",10,1,44,19,12,56,0,0,0,1,0,0,132,13
"Q",9,1,47,42,9,56,0,0,0,0,0,0,154,9
"Q",8,1,114,114,2,116,0,0,1,0,0,0,347,2
"Q",7,1,100,146,27,127,0,0,0,0,0,0,400,27
"Q",6,1,126,167,26,152,0,0,0,5,1,0,477,31
"Q",5,1,110,278,12,122,7,1,0,0,0,0,530,12
"Q",4,1,143,440,0,143,1,2,0,0,0,0,729,0
"Q",3,1,58,135,0,58,0,0,0,0,0,0,251,0
"Q",2,1,18,58,0,18,0,0,0,0,0,0,94,0
"Q",1,1,6,14,0,6,0,0,0,0,0,0,26,0
"S",10,1,1,0,0,1,0,0,0,0,0,0,2,0
"S",9,1,2,0,1,3,0,0,0,0,0,0,6,1
"S",8,1,8,4,2,10,0,0,0,1,0,0,25,3
"S",7,1,49,32,5,54,0,0,0,0,0,0,140,5
"S",6,1,123,229,12,135,0,3,0,1,0,0,503,13
"S",5,1,130,495,34,164,3,1,0,0,0,0,827,34
"S",4,1,144,199,0,144,0,0,0,0,0,0,487,0
"S",3,1,49,113,2,51,0,0,0,0,0,0,215,2
"S",2,1,9,31,2,11,0,0,0,0,0,0,53,2
"S",1,1,8,6,0,8,0,0,0,0,0,0,22,0
